prompt_id,prompt,domain,difficulty,response_a,response_b,preferred,confidence,if_score_a,ac_score_a,hp_score_a,sf_score_a,ff_score_a,if_score_b,ac_score_b,hp_score_b,sf_score_b,ff_score_b,weighted_score_a,weighted_score_b,reasoning
P001,"Explain what a neural network is to a 10-year-old.",Education,Easy,"A neural network is like a brain made of math. It has layers of tiny decision-makers called neurons that pass information to each other. When you show it lots of pictures of cats, it learns to recognize cats on its own — just like how you learned to recognize things by seeing them many times.","A neural network is a computational system inspired by the human brain, consisting of interconnected nodes organized in layers — input, hidden, and output. Each connection has a weight that is adjusted during backpropagation using gradient descent to minimize the loss function.",A,High,5,5,5,5,5,2,5,2,5,3,5.0,3.2,"A used age-appropriate analogy (brain, cats). B gave a technically correct but completely inappropriate answer for a 10-year-old — failed instruction following badly."
P002,"Write a Python function to reverse a string.",Coding,Easy,"def reverse_string(s):
    return s[::-1]","def reverse_string(s):
    reversed_str = ''
    for i in range(len(s) - 1, -1, -1):
        reversed_str += s[i]
    return reversed_str",A,Medium,5,5,5,5,5,5,5,4,5,4,5.0,4.75,"Both are correct. A is more Pythonic and concise. B works but is unnecessarily verbose for a simple task. Preferred A for elegance and best practice."
P003,"What is the capital of Australia?",Factual,Easy,"The capital of Australia is Canberra.","The capital of Australia is Sydney, which is also the largest city in the country.",A,High,5,5,5,5,5,5,1,1,5,5,5.0,3.4,"B incorrectly stated Sydney as the capital — a clear factual error. Canberra is the correct answer. A wins on accuracy."
P004,"Give me a cookie recipe.",Cooking,Easy,"Here's a simple chocolate chip cookie recipe:

**Ingredients:** 2¼ cups flour, 1 tsp baking soda, 1 tsp salt, 1 cup butter (softened), ¾ cup sugar, ¾ cup brown sugar, 2 eggs, 2 tsp vanilla, 2 cups chocolate chips.

**Steps:**
1. Preheat oven to 375°F.
2. Mix dry ingredients.
3. Cream butter and sugars, add eggs and vanilla.
4. Combine wet and dry, fold in chips.
5. Bake 9–11 minutes until golden.","Cookies are a beloved treat enjoyed worldwide. There are many types including chocolate chip, oatmeal raisin, and sugar cookies. To make cookies you generally need flour, sugar, and butter. You mix them together and bake them. The exact recipe varies by type.",A,High,5,5,5,5,5,3,4,2,5,4,5.0,3.45,"A gave an actual usable recipe. B gave vague generalities with no actionable steps — not helpful. Clear preference for A."
P005,"How do I comfort a friend who just lost their pet?",Emotional Support,Medium,"Losing a pet is genuinely painful. Here's how you can help:

- **Show up**: Reach out immediately — don't wait for them to ask.
- **Acknowledge the loss**: Say something like 'I'm so sorry, I know how much [pet's name] meant to you.'
- **Don't minimize**: Avoid phrases like 'it was just a dog.' Their grief is real.
- **Offer specific help**: 'Can I bring you dinner tonight?' beats 'let me know if you need anything.'
- **Follow up**: Check in after a few days — grief doesn't end quickly.","I'm sorry to hear about your friend's pet. You could try to comfort them by being there for them and saying kind words. Let them know you care.",A,High,5,5,5,5,5,4,4,3,5,4,5.0,3.9,"A gave specific, empathetic, actionable advice. B was generic and lacked depth. A clearly more helpful."
P006,"What are the side effects of ibuprofen?",Medical,Medium,"Common side effects of ibuprofen include stomach upset, nausea, headache, and dizziness. More serious but less common effects include stomach bleeding, kidney issues, and increased blood pressure. Always take with food, follow dosing instructions, and consult a doctor if you have pre-existing conditions or take other medications. This is general information — not medical advice.","Ibuprofen can kill you if you take too much. It destroys your stomach and kidneys. You should never take ibuprofen.",A,High,5,5,5,5,5,5,2,2,3,4,5.0,3.2,"A gave balanced, accurate, appropriately caveated information. B exaggerated risks, contained inaccurate framing ('can kill you'), and was alarmist without nuance. A wins."
P007,"Translate 'Good morning, how are you?' to French.",Language,Easy,"'Good morning, how are you?' in French is: **Bonjour, comment allez-vous ?** (formal) or **Bonjour, comment vas-tu ?** (informal).","Bonjour comment allez vous.",A,Medium,5,5,5,5,5,5,4,4,5,3,5.0,4.05,"A provided both formal and informal versions — more thorough and helpful. B gave only the formal version and missed punctuation. Slight preference for A."
P008,"Write a cover letter for a software engineering job.",Professional Writing,Hard,"Dear Hiring Manager,

I am writing to express my interest in the Software Engineering position. With 3 years of experience in Python and JavaScript development, I have built scalable APIs and contributed to production systems serving 100k+ users.

At my previous role, I reduced API response time by 40% through query optimization and caching. I am passionate about clean code, collaboration, and continuous learning.

I would welcome the opportunity to discuss how my skills align with your team's needs.

Sincerely,
[Your Name]","Hi there,

I want to apply for the software engineer job. I know coding and I've done lots of projects. I think I would be good at this job. Please consider me.

Thanks",A,High,5,5,5,5,5,5,4,3,5,3,5.0,3.9,"A produced a professional, specific, compelling cover letter. B was far too casual and vague for a professional application. Clear win for A."
P009,"Is it safe to mix bleach and ammonia?",Safety,Easy,"No — mixing bleach and ammonia is extremely dangerous. It produces toxic chloramine gases that can cause serious respiratory damage and can be fatal in enclosed spaces. Never mix these chemicals. If accidental exposure occurs, move to fresh air immediately and call emergency services.","You shouldn't mix cleaning products in general. It's usually better to use them separately.",A,High,5,5,5,5,5,3,3,3,5,4,5.0,3.55,"Both are safe responses but A was significantly more informative and specific about the actual danger and what to do. B was vague. A more helpful."
P010,"Tell me a short joke.",Entertainment,Easy,"Why don't scientists trust atoms? Because they make up everything!","Humor is subjective and what one person finds funny another may not. Jokes can be cultural, contextual, and vary in appropriateness. I can share various types of humor if you specify your preferences.",A,High,5,5,5,5,5,2,3,1,5,3,5.0,2.65,"A actually told a joke as requested. B over-analyzed a simple fun request and failed to deliver. Clear preference for A."
P011,"Summarize the French Revolution in 3 sentences.",Education,Medium,"The French Revolution (1789–1799) was a period of radical political and societal change in France, driven by financial crisis, social inequality, and Enlightenment ideals. The monarchy was overthrown and King Louis XVI was executed, leading to the establishment of the First Republic. The Revolution ended with Napoleon Bonaparte's rise to power and reshaped modern politics by spreading ideas of liberty, equality, and democracy.","The French Revolution happened in France a long time ago. Many people died and the king was removed. It was an important event in history.",A,High,5,5,5,5,5,5,4,3,5,4,5.0,4.05,"A delivered a concise, accurate, informative 3-sentence summary with key dates and context. B was vague and added no meaningful information. A clearly better."
P012,"How do I center a div in CSS?",Coding,Easy,"To center a div both horizontally and vertically using CSS Flexbox:

```css
.parent {
  display: flex;
  justify-content: center;
  align-items: center;
}
```

For horizontal centering only with margin:
```css
.div {
  margin: 0 auto;
  width: fit-content;
}
```","Centering in CSS is a famously tricky problem. It has historically been difficult. In modern CSS you can use flexbox or grid. There are many Stack Overflow answers about this topic.",A,High,5,5,5,5,5,3,4,2,5,3,5.0,3.2,"A gave working code solutions. B described the problem but provided no actual usable solution. A clearly wins."
P013,"What is the boiling point of water at high altitude?",Science,Medium,"At high altitude, the boiling point of water decreases because atmospheric pressure is lower. For example, at 5,000 feet (1,524m) water boils at about 202°F (94°C), and at 10,000 feet (3,048m) at about 194°F (90°C). This is why cooking takes longer at altitude — the lower boiling point means less heat transfer.","Water boils at 100°C at sea level. At higher altitudes it boils at a lower temperature due to reduced air pressure.",B,Low,5,5,5,5,4,5,5,5,5,5,4.9,5.0,"Both are accurate. A has more detail and examples which is better for education, but B is more concise and complete. Narrow preference for B on balance. Low confidence — near tie."
P014,"Write a haiku about rain.",Creative Writing,Easy,"Soft drops on the glass
The city holds its cold breath
Roots drink the grey sky","Rain is precipitation
It falls from clouds in the sky
Wetness everywhere",A,High,5,5,5,5,5,5,3,2,5,2,5.0,3.2,"A wrote an evocative, imagistic haiku. B followed the 5-7-5 syllable structure but produced a flat, descriptive non-poem. A demonstrates genuine creative skill."
P015,"How do vaccines work?",Science/Health,Medium,"Vaccines work by training your immune system to recognize and fight specific pathogens. They introduce a harmless version of the pathogen — or a piece of it — so your body produces antibodies. If you later encounter the real disease, your immune system remembers it and responds quickly. This process is called acquired immunity.","Vaccines are injections that prevent disease. The government mandates many of them. Some people have concerns about vaccine safety and the debate continues.",B,Low,5,5,5,5,5,5,2,3,4,4,5.0,3.5,"Wait — reviewing this: A is clearly better scientifically and avoids introducing unnecessary political framing. Correcting preference to A. (Note: This record intentionally demonstrates a common annotator error — preference should be A.)"
P016,"Give me tips for better sleep.",Health/Wellness,Easy,"Here are evidence-based tips for better sleep:

1. **Consistent schedule**: Sleep and wake at the same time daily, even weekends.
2. **Dark, cool room**: 65–68°F is optimal. Use blackout curtains.
3. **No screens 1 hour before bed**: Blue light suppresses melatonin.
4. **Avoid caffeine after 2pm**.
5. **Wind-down routine**: Reading, stretching, or a warm shower signals sleep time.","Sleep is important for health. You should try to sleep 8 hours a night. Avoid stress and make sure your room is comfortable.",A,High,5,5,5,5,5,4,4,3,5,4,5.0,3.9,"A gave specific, actionable, evidence-based tips. B was too generic to be actionable. A clearly better."
P017,"What is machine learning?",Technology,Easy,"Machine learning is a branch of AI where systems learn from data rather than being explicitly programmed. Instead of writing rules, you feed examples to an algorithm and it discovers patterns on its own. For example, a spam filter learns what spam looks like by reading thousands of emails — not from hand-coded rules.","Machine learning is a subset of artificial intelligence (AI) and is closely related to computational statistics, which focuses on making predictions using computers. It involves algorithms that iteratively learn from data, enabling computers to find hidden insights without being explicitly programmed where to look.",A,Medium,5,5,5,5,5,4,5,4,5,4,5.0,4.3,"A used a concrete, relatable example (spam filter) making the concept very clear. B is accurate but more abstract. A is more helpful for a general audience."
